codigo;descrip;marca;tipo;costo;iva;valiva;moneda;costo_us;unidad;gananmin;gananmay;minoris;minorisi;mayoris;mayorisi;fecha
1174;*P*LETROGRAFO PLANTEC 6MM;ARTICULOS TECNICOS;LETROGRAFOS;17,44;G;21;$;0;07;2,4169;0;42,15;51;0;0;42513
1175;*P*LETROGRAFO PLANTEC 7MM;ARTICULOS TECNICOS;LETROGRAFOS;20,8;G;21;$;0;07;2,4038;0;50;60,5;0;0;42513
1176;*P*LETROGRAFO PLANTEC 8MM;ARTICULOS TECNICOS;LETROGRAFOS;20,8;G;21;$;0;07;2,4038;0;50;60,5;0;0;42513
1177;*P*LETROGRAFO PLANTEC 10MM;ARTICULOS TECNICOS;LETROGRAFOS;25,12;G;21;$;0;07;2,4347;0;61,16;74;0;0;42513
1178;*P*LETROGRAFO PLANTEC 12MM;ARTICULOS TECNICOS;LETROGRAFOS;25,12;G;21;$;0;07;2,4347;0;61,16;74;0;0;42513
828;4710-PARALELA PLANTEC C/ACC 1MT;ARTICULOS TECNICOS;PARALELOGRAFO;303,76;G;21;$;0;07;2,299;0;698,35;845;0;0;42513
7798046766419;2641-SET PISTOLETES DOZENT;ARTICULOS TECNICOS;PISTOLETES;19,84;G;21;$;0;07;2,4158;0;47,93;58;0;0;42513
7798046766686;*P*2105-PLANTILLA COMPUTACION;ARTICULOS TECNICOS;PLANTILLAS;22,48;G;21;$;0;07;2,4266;0;54,55;66;0;0;42513
7798046768574;*P*2106-PLANTILLA ELECTRI Y ELECTRO;ARTICULOS TECNICOS;PLANTILLAS;22,48;G;21;$;0;07;2,4266;0;54,55;66;0;0;42513
000000180;*P*2107-PLANTILLA CIRCUL/RADIOS/POL;ARTICULOS TECNICOS;PLANTILLAS;22,48;G;21;$;0;07;2,4266;0;54,55;66;0;0;42513
7798046766693;*P*2111-PLANTILLA ELIPSES 35º/16º;ARTICULOS TECNICOS;PLANTILLAS;22,48;G;21;$;0;07;2,4266;0;54,55;66;0;0;42513
7798148772660;*P*2128-PLANTILLA SANIT/COCI/LAVAD;ARTICULOS TECNICOS;PLANTILLAS;25,76;G;21;$;0;07;2,5023;0;64,46;78;0;0;42513
7798148772677;*P*2129-PLANTILLA MUEBLES1:100 1:50;ARTICULOS TECNICOS;PLANTILLAS;25,76;G;21;$;0;07;2,5023;0;64,46;78;0;0;42513
7798148772653;*P*2127-PLANTILLA CIRCUL DIAM 1/35;ARTICULOS TECNICOS;PLANTILLAS;25,76;G;21;$;0;07;2,5023;0;64,46;78;0;0;42513
8015296005099;*P*2621-REGLA DOZENT 40CM;ARTICULOS TECNICOS;REGLAS;13,76;G;21;$;0;07;2,6424;0;36,36;44;0;0;42406
7798046769540;*P*2622-REGLA DOZENT 50CM;ARTICULOS TECNICOS;REGLAS;19,52;G;21;$;0;07;2,7095;0;52,89;64;0;0;42377
7798046769557;*P*2623-REGLA DOZENT 60CM;ARTICULOS TECNICOS;REGLAS;21,92;G;21;$;0;07;2,6013;2;57,02;68,99;43,84;53,05;42551
75207;3735-PLANTEC P/ACUARELA 250GR 50X70;PAPEL;ARTISTICA;11,93;G;21;$;0;07;2,5633;0;30,58;37;0;0;42377
75215;3765-PLANTEC P/OLEO 230GR 50X70;PAPEL;ARTISTICA;17,34;G;21;$;0;07;2,812;0;48,76;59;0;0;42377
4646;*P*LIBRO GENERAL HISTORIA ARGENTINA;ARTICULOS DIDACTICOS;LIBROS EDICIONES;4,14;G;21;$;0;07;2,2;0;9,11;11,02;0;0;42277
4647;*P*LIBRO GENERAL ANATOMIA-FISICA;ARTICULOS DIDACTICOS;LIBROS EDICIONES;4,14;G;21;$;0;07;2,2;0;9,11;11,02;0;0;42277
4648;*P*LIBRO GENERAL HISTORIA UNIVERSAL;ARTICULOS DIDACTICOS;LIBROS EDICIONES;4,14;G;21;$;0;07;2,2;0;9,11;11,02;0;0;42277
4649;*P*LIBRO GENERAL ECOLOGIA;ARTICULOS DIDACTICOS;LIBROS EDICIONES;4,14;G;21;$;0;07;2,2;0;9,11;11,02;0;0;42277
